type,name,res_id,src,value,fuzzy
error,access_error,0,"You try to bypass an access rule!
(Document type: %s)","Вы пытаетесь нарушить правила доступа!
(Тип модели:%s)",0
error,company.company,0,You can not create recursive companies!,Вы не можете создать взаимоподчинённые организации,0
error,delete_workflow_record,0,You cannot delete a record with a running workflow.,Вы не можете удалять записи с запущенным рабочим процессом.,0
error,delete_xml_record,0,You are not allowed to delete this record.,Вы не можете удалить эту запись.,0
error,domain_validation_record,0,"The value of the field ""%s"" on ""%s"" is not valid according to its domain.","Значение поля ""%s"" на ""%s"" не действует в соответствии с его домена.",0
error,ekd.company.employee.category,0,The name of a party category must be unique by parent!,,0
error,ekd.company.employee.category,0,You can not create recursive categories!,Вы не можете создавать рекурсивные категории!,0
error,ekd.company.employee.category,0,"You can not use "" / "" in name field!",,0
error,foreign_model_exist,0,"Could not delete ""%s"" records because they are used on field ""%s"" of ""%s"".","Не удалось удалить ""%s"" записей, поскольку они ссылаются на поле ""%s"" в таблице ""%s"".",0
error,foreign_model_missing,0,"The value of field ""%s"" on ""%s"" doesn't exist.","Значение поля ""%s"" в таблице ""%s"" не существует.",0
error,ir.action.keyword,0,Wrong wizard model!,Неправильный шаблон мастера,0
error,ir.action.report,0,The internal name must be unique by module!,Наименование модуля должно быть уникальным!,0
error,ir.attachment,0,The names of attachments must be unique by record!,Имена вложений должны быть уникальными!,0
error,ir.attachment,0,"You can not create an attachment
in a collection with the name
of an existing child collection!","Вы не можете сохранить вложение
в каталоге с именем
 которое уже существует!",0
error,ir.cron,0,Scheduled action failed,Запланированное действие не удалось выполнить,0
error,ir.cron,0,"The following action failed to execute properly: ""%s""
 Traceback: 

%s
","Следующие операции не смогли выполниться должным образом: ""%s""
 Сообщение отладчика:

%s",0
error,ir.lang,0,Invalid Grouping!,Неверное Группировка!,0
error,ir.lang,0,The date format is not valid!,Неправильный формат даты!,0
error,ir.lang,0,decimal_point and thousands_sep must be different!,Десятичный разделитель и Разделитель тысяч должны быть разными!,0
error,ir.model,0,The model must be unique!,Модель должна быть уникальным!,0
error,ir.model.access,0,Only one record by model and group is allowed!,Разрешается только одна запись от модели и группы!,0
error,ir.model.access,0,You can not create this kind of document! (%s),Вы не можете создать такой документ! (%s),0
error,ir.model.access,0,You can not delete this document! (%s),Вы не можете удалить этот документ! (%s),0
error,ir.model.access,0,You can not read this document! (%s),Вы не можете прочитать этот документ! (%s),0
error,ir.model.access,0,You can not write in this document! (%s),Вы не можете сохранить документ! (%s),0
error,ir.model.data,0,"The triple (fs_id, module, model) must be unique!","Тройка (fs_id, модуль, модель) должен быть уникальным!",0
error,ir.model.field,0,The field name in model must be unique!,Наименование поля в шаблоне должно быть уникальным!,0
error,ir.module.module,0,"Missing dependencies %s for module ""%s""","Отсутствуют зависимости %s для модуля ""%s""",0
error,ir.module.module,0,The modules you are trying to uninstall depends on installed modules:,"Модулей, которые вы пытаетесь удалить, зависит от установленных модулей:",0
error,ir.module.module,0,The name of the module must be unique!,Наименование модуля должно быть уникальным,0
error,ir.module.module,0,You can not remove a module that is installed or will be installed,"Вы не можете удалить модуль, который установлен или будет установлен",0
error,ir.module.module.dependency,0,Dependency must be unique by module!,Зависимость должно быть уникальным модулем!,0
error,ir.rule.group,0,Global and Default are mutually exclusive!,Глобальные и по умолчанию являются взаимоисключающими!,0
error,ir.sequence,0,Invalid prefix/suffix!,Ошибка в префиксе/суффиксе!,0
error,ir.sequence,0,Missing sequence!,Ошибка в нумерации,0
error,ir.sequence.strict,0,Invalid prefix/suffix!,Ошибка в префиксе/суффиксе!,0
error,ir.sequence.strict,0,Missing sequence!,Ошибка в нумерации,0
error,ir.translation,0,Translation must be unique,Перевод должен быть уникальным,0
error,ir.ui.view,0,Invalid XML for View!,Ошибка в XML просмотре,0
error,read_error,0,"You try to read records that don't exist anymore!
(Document type: %s)","Вы пытаетесь прочитать запись, которой больше не существует!
(Тип модели:%s)",0
error,required_field,0,"The field ""%s"" on ""%s"" is required.","Поле ""%s"" на ""%s"" необходимо.",0
error,required_validation_record,0,"The field ""%s"" on ""%s"" is required.","Поле ""%s"" на ""%s"" необходимо.",0
error,res.group,0,The name of the group must be unique!,Наименование группы должно быть уникальным,0
error,res.user,0,End of period longer than the beginning of the period,Дата окончания меньше чем дата начала! ,0
error,res.user,0,Wrong password!,Не правильный пароль!,0
error,res.user,0,You can not have two users with the same login!,Вы не можете имет двух пользователей с одним именем!,0
error,res.user,0,"You can not remove the root user
as it is used internally for resources
created by the system (updates, module installation, ...)","Вы не можете удалить суперпользователя
как она используется внутри ресурсов
создана система (обновления, установки модуля, ...)",0
error,res.user,0,You can not set a company that is not a child of your main company!,"вы не можете установить учетную организацию, отсутвуют подразделения вашей компании",0
error,size_validation_record,0,"The field ""%s"" on ""%s"" is too long.","Поле ""%s"" в таблице ""%s"" слишком большое.",0
error,webdav.collection,0,The collection name must be unique inside a collection!,Имя каталога должно быть уникальным внутри каталога!,0
error,webdav.collection,0,"You can not create a collection
in a collection with the name of an existing file!","Вы не можете создать каталог
в каталоге с именем существующего файла!",0
error,webdav.collection,0,You can not create recursive collections!,Вы не можете создавать рекурсивные категории!,0
error,workflow,0,No workflow defined!,Процесс не определен!,0
error,workflow.instance,0,No workflow instance defined!,Не определен экземпляр процесса!,0
error,write_error,0,"You try to write on records that don't exist anymore!
(Document type: %s)","Вы пытаетесь сохранить запись, которой больше не существуют!
(Тип модели:%s)",0
error,write_xml_record,0,You are not allowed to modify this record.,Вы не можете изменить эту запись.,0
error,xml_record_desc,0,This record is part of the base configuration.,Эта запись является частью базовой конфиурации.,0
field,"company.company,advance_day",0,Day Advance,День аванса,0
field,"company.company,cao",0,Chief Accountant,Главный бухгалтер,0
field,"company.company,cco",0,Chief Cashier,Главный кассир,0
field,"company.company,ceo",0,Chief Executive Officer,Главный управляющий,0
field,"company.company,ceo2",0,Chief Economic Officer,Зам. главного управляющего,0
field,"company.company,ceo_acts",0,Acts on the basis,Действует на основании,0
field,"company.company,cfo",0,Chief Finance Officer,Управляющий по финансам,0
field,"company.company,childs",0,Children,Подчиненый,0
field,"company.company,cpo",0,Chief Personnel Officer,Управляющий по персоналу,0
field,"company.company,currency",0,Currency,Валюта,0
field,"company.company,employees",0,Employees,Сотрудники,0
field,"company.company,footer",0,Footer,Нижний колонтитул,0
field,"company.company,header",0,Header,Верхний колонтитул,0
field,"company.company,parent",0,Parent,Основной,0
field,"company.company,party",0,Party,Контрагент,0
field,"company.company,pay_day",0,Day Salary,День зарплаты,0
field,"company.company,rec_name",0,Name,Наименование,0
field,"company.employee,children",0,Children of Employee,Дети сотрудника,0
field,"company.employee,company",0,Company,Учет.орг.,0
field,"company.employee,department",0,Department,Подразделение,0
field,"company.employee,dismissal_date",0,Date dismissal,Дата увольнения,0
field,"company.employee,education",0,Education,Образование,0
field,"company.employee,educations",0,Educations,Образования,0
field,"company.employee,experience",0,Work Experience,Опыт работы (Стаж),0
field,"company.employee,fluro_date",0,Date Flyurografiya,Дата флюрографии,0
field,"company.employee,gender",0,Gender,Пол,0
field,"company.employee,job_function",0,Officer position,Должность,0
field,"company.employee,marital",0,Marital Status,Семейное положение,0
field,"company.employee,medical_date",0,Date of medical review,Дата мед. осмотра,0
field,"company.employee,party",0,Person,Контрагент,0
field,"company.employee,pension_number",0,Pension Number,Пенсионный номер,0
field,"company.employee,peripatetic",0,Peripatetic,Внештатный,0
field,"company.employee,personal_account",0,Personal Accounts,Лицевой счет,0
field,"company.employee,photo",0,Photo,Фото,0
field,"company.employee,prof_education",0,Profession Education,Профессия,0
field,"company.employee,properties",0,Advanced Properties,Дополнительные свойства,0
field,"company.employee,rec_name",0,Name,Наименование,0
field,"company.employee,social_number",0,Social Number,Номер мед.полиса,0
field,"company.employee,starting_date",0,Starting Date,Работает с,0
field,"company.employee,state",0,State,Состояние,0
field,"company.employee,uid_employee",0,UID Officer,Табельный номер,0
field,"company.employee.children,birthday",0,Birthday,День рождения,0
